Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0.0274245945	0.00881687947	0	0	0	0	0	0	0	0	0	0	0	3
2	0	0.0548571435	0.0176337589	0	0	0	0	0	0	0	0	0	0	0	3
3	0	0.0823484686	0.0264506384	0	0	0	0	0	0	0	0	0	0	0	3
4	0	0.110274093	0.0352675179	0	0	0	0	0	0	0	0	0	0	0	3
5	0	0.141408784	0.0440843974	0	0	0	0	0	0	0	0	0	0	0	3
6	0	0.223678754	0.0529012768	0	0	0	0	0	0	0	0	0	0	0	3
7	0	0.568759793	0.0617181563	0	0	0	0	0	0	0	0	0	0	0	3
8	0	2.85564098	0.0705350358	0	0	0	0	0	0	0	0	0	0	0	3
9	0	19.4837396	0.0793519153	0	0	0	0	0	0	0	0	0	0	0	3
10	0	141.707113	0.0881687947	0	0	0	0	0	0	0	0	0	0	0	3
11	0	1471.00763	0.0969856742	0	0	0	0	0	0	0	0	0	0	0	3
12	1	9538.76099	0.105802554	0	0	0	0	0	0	0	0	0	0	0	3
13	1	33516.0466	0.114619433	0	0	0	0	0	0	0	0	0	0	0	3
14	1	34532.7218	0.123436313	0	0	0	0	0	0	0	0	0	0	0	3
15	1	34604.4601	0.132253192	0	0	0	0	0	0	0	0	0	0	0	3
16	1	34737.703	0.141070072	0	0	0	0	0	0	0	0	0	0	0	3
17	1	34907.4942	0.149886951	0	0	0	0	0	0	0	0	0	0	0	3
18	1	35133.0173	0.158703831	0	0	0	0	0	0	0	0	0	0	0	3
19	1	35467.9253	0.16752071	0	0	0	0	0	0	0	0	0	0	0	3
20	1	35969.1261	0.176337589	0	0	0	0	0	0	0	0	0	0	0	3
21	1	37454.425	0.185154469	0	0	0	0	0	0	0	0	0	0	0	3
22	1	40677.2656	0.193971348	0	0	0	0	0	0	0	0	0	0	0	3
23	2	55777.9181	0.202788228	0	0	0	0	0	0	0	0	0	0	0	3
24	2	161128.217	0.211605107	0	0	0	0	0	0	0	0	0	0	0	3
25	2	326715.554	0.220421987	0	0	0	0	0	0	0	0	0	0	0	3
26	2	685256.043	0.229238866	0	0	0	0	0	0	0	0	0	0	0	3
27	2	1063311.69	0.238055746	0	0	0	0	0	0	0	0	0	0	0	3
28	2	1441580.42	0.246872625	0	0	0	0	0	0	0	0	0	0	0	3
29	2	1819860.97	0.255689505	0	0	0	0	0	0	0	0	0	0	0	3
30	2	2198143.21	0.264506384	0	0	0	0	0	0	0	0	0	0	0	3
31	2	2803933.11	0.273323264	0	0	0	0	0	0	0	0	0	0	0	3
32	2	3409723.06	0.282140143	0	0	0	0	0	0	0	0	0	0	0	3
33	2	4015513.03	0.290957023	0	0	0	0	0	0	0	0	0	0	0	3
34	3	4621302.99	0.299773902	0	0	0	0	0	0	0	0	0	0	0	3
35	3	5227092.95	0.308590782	0	0	0	0	0	0	0	0	0	0	0	3
36	3	5963781.98	0.317407661	0	0	0	0	0	0	0	0	0	0	0	3
37	3	6700471.02	0.326224541	0	0	0	0	0	0	0	0	0	0	0	3
38	3	7437160.04	0.33504142	0	0	0	0	0	0	0	0	0	0	0	3
39	3	8173849.04	0.343858299	0	0	0	0	0	0	0	0	0	0	0	3
40	3	8910538.04	0.352675179	0	0	0	0	0	0	0	0	0	0	0	3
41	3	9806410.79	0.361492058	0	0	0	0	0	0	0	0	0	0	0	3
42	3	10702283.5	0.370308938	0	0	0	0	0	0	0	0	0	0	0	3
43	3	11598156.2	0.379125817	0	0	0	0	0	0	0	0	0	0	0	3
44	3	12494029	0.387942697	0	0	0	0	0	0	0	0	0	0	0	3
45	3	13389901.7	0.396759576	0	0	0	0	0	0	0	0	0	0	0	3
46	3	14479354.6	0.405576456	0	0	0	0	0	0	0	0	0	0	0	3
47	4	15568807.5	0.414393335	0	0	0	0	0	0	0	0	0	0	0	3
48	4	16658260.3	0.423210215	0	0	0	0	0	0	0	0	0	0	0	3
49	4	17747713.2	0.432027094	0	0	0	0	0	0	0	0	0	0	0	3
50	4	18837166.1	0.440843974	0	0	0	0	0	0	0	0	0	0	0	3
51	4	20162027.8	0.449660853	0	0	0	0	0	0	0	0	0	0	0	3
52	4	21486889.6	0.458477733	0	0	0	0	0	0	0	0	0	0	0	3
53	4	22811751.4	0.467294612	0	0	0	0	0	0	0	0	0	0	0	3
54	4	24136613.2	0.476111492	0	0	0	0	0	0	0	0	0	0	0	3
55	4	25461475	0.484928371	0	0	0	0	0	0	0	0	0	0	0	3
56	4	27072613.1	0.493745251	0	0	0	0	0	0	0	0	0	0	0	3
57	4	28683751.2	0.50256213	0	0	0	0	0	0	0	0	0	0	0	3
58	4	30294889.4	0.511379009	0	0	0	0	0	0	0	0	0	0	0	3
59	4	31906027.5	0.520195889	0	0	0	0	0	0	0	0	0	0	0	3
60	4	33517165.6	0.529012768	0	0	0	0	0	0	0	0	0	0	0	3
61	4	35476438.3	0.537829648	0	0	0	0	0	0	0	0	0	0	0	3
62	5	37435711	0.546646527	0	0	0	0	0	0	0	0	0	0	0	3
63	5	39394983.6	0.555463407	0	0	0	0	0	0	0	0	0	0	0	3
64	5	41354256.2	0.564280286	0	0	0	0	0	0	0	0	0	0	0	3
65	5	43313528.8	0.573097166	0	0	0	0	0	0	0	0	0	0	0	3
66	5	45696160.8	0.581914045	0	0	0	0	0	0	0	0	0	0	0	3
67	5	48078792.7	0.590730925	0	0	0	0	0	0	0	0	0	0	0	3
68	5	50461424.5	0.599547804	0	0	0	0	0	0	0	0	0	0	0	3
69	5	52844056.3	0.608364684	0	0	0	0	0	0	0	0	0	0	0	3
70	5	55226688	0.617181563	0	0	0	0	0	0	0	0	0	0	0	3
71	5	58124158.4	0.625998443	0	0	0	0	0	0	0	0	0	0	0	3
72	5	61021628.4	0.634815322	0	0	0	0	0	0	0	0	0	0	0	3
73	5	63919098.3	0.643632202	0	0	0	0	0	0	0	0	0	0	0	3
74	5	66816568.1	0.652449081	0	0	0	0	0	0	0	0	0	0	0	3
75	5	69714037.8	0.661265961	0	0	0	0	0	0	0	0	0	0	0	3
76	5	73237592	0.67008284	0	0	0	0	0	0	0	0	0	0	0	3
77	5	76761146.2	0.678899719	0	0	0	0	0	0	0	0	0	0	0	3
78	5	80284700.3	0.687716599	0	0	0	0	0	0	0	0	0	0	0	3
79	5	83808254.4	0.696533478	0	0	0	0	0	0	0	0	0	0	0	3
80	5	87331808.5	0.705350358	0	0	0	0	0	0	0	0	0	0	0	3
81	5	91616731.3	0.714167237	0	0	0	0	0	0	0	0	0	0	0	3
82	5	95901654.2	0.722984117	0	0	0	0	0	0	0	0	0	0	0	3
83	5	100186577	0.731800996	0	0	0	0	0	0	0	0	0	0	0	3
84	5	104471500	0.740617876	0	0	0	0	0	0	0	0	0	0	0	3
85	5	108756424	0.749434755	0	0	0	0	0	0	0	0	0	0	0	3
86	6	113967233	0.758251635	0	0	0	0	0	0	0	0	0	0	0	3
87	6	119178042	0.767068514	0	0	0	0	0	0	0	0	0	0	0	3
88	6	124388851	0.775885394	0	0	0	0	0	0	0	0	0	0	0	3
89	6	129599661	0.784702273	0	0	0	0	0	0	0	0	0	0	0	3
90	6	134810470	0.793519153	0	0	0	0	0	0	0	0	0	0	0	3
91	6	141147230	0.802336032	0	0	0	0	0	0	0	0	0	0	0	3
92	6	147483993	0.811152912	0	0	0	0	0	0	0	0	0	0	0	3
93	6	153820756	0.819969791	0	0	0	0	0	0	0	0	0	0	0	3
94	6	160157521	0.828786671	0	0	0	0	0	0	0	0	0	0	0	3
95	6	166494285	0.83760355	0	0	0	0	0	0	0	0	0	0	0	3
96	6	174200295	0.846420429	0	0	0	0	0	0	0	0	0	0	0	3
97	6	181906300	0.855237309	0	0	0	0	0	0	0	0	0	0	0	3
98	6	189612295	0.864054188	0	0	0	0	0	0	0	0	0	0	0	3
99	6	197318277	0.872871068	0	0	0	0	0	0	0	0	0	0	0	3
100	7	205024251	0.881687947	0	0	0	0	0	0	0	0	0	0	0	3
101	7	214395311	0.890504827	0	0	0	0	0	0	0	0	0	0	0	3
102	7	223760475	0.899321706	0	0	0	0	0	0	0	0	0	0	0	3
103	7	233125634	0.908138586	0	0	0	0	0	0	0	0	0	0	0	3
104	7	242490792	0.916955465	0	0	0	0	0	0	0	0	0	0	0	3
105	7	251855957	0.925772345	0	0	0	0	0	0	0	0	0	0	0	3
106	7	261221122	0.934589224	0	0	0	0	0	0	0	0	0	0	0	3
107	7	270586325	0.943406104	0	0	0	0	0	0	0	0	0	0	0	3
108	7	279951533	0.952222983	0	0	0	0	0	0	0	0	0	0	0	3
109	7	289316762	0.961039863	0	0	0	0	0	0	0	0	0	0	0	3
110	7	298681991	0.969856742	0	0	0	0	0	0	0	0	0	0	0	3
111	7	308047208	0.978673622	0	0	0	0	0	0	0	0	0	0	0	3
112	7	317412420	0.987490501	0	0	0	0	0	0	0	0	0	0	0	3
113	8	326777623	0.996307381	0	0	0	0	0	0	0	0	0	0	0	3
114	8	336142826	1.00512426	0	0	0	0	0	0.001	0	0	0	0	0	3
